id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
18,Moarmoos (Oberinner Wiesen),VR - Biotopo Moarmoos (Oberinner Wiesen),"1.58",DPGP 364 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
19,Il Colo (IT3120130),Zona Speciale di Conservazione Il Colo,"0.29",null,Pieve Tesino,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
20,Monpiana 2,Riserva Locale Monpiana 2,"0.75",null,Altavalle,null,www.parks.it/riserva.monpiana2,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
21,Blano A,Riserva Locale Blano A,"0.92",null,Tione di Trento,null,www.parks.it/riserva.blanoA,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
22,Parco Naturale Fanes - Senes - Braies(IT3110049),Zona Speciale di Conservazione e Zona di Protezione Speciale Parco Naturale Fanes - Senes - Braies,"25453.00",null,"Badia, Braies, Dobbiaco, La Valle, Marebbe, Valdaora",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
23,Valle del Verdes (IT3120144),Zona Speciale di Conservazione Valle del Verdes,"2185.00",null,"Predaia, Sfruz",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
24,Grotta di Ernesto (IT3120132),Zona Speciale di Conservazione Grotta di Ernesto,"1.06",null,Grigno,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
25,Biotopo Torbiera di Rasun - Rasner Moeser,RR Biotopo Torbiera di Rasun - Rasner Moeser,"24.92",DPGP 116 27/04/1982,Rasun Anterselva,EUAP0658,null,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
26,Pize' (IT3120043),Zona Speciale di Conservazione Pize',16,null,"Pergine Valsugana, Tenna",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
27,Lago di Anterselva - Antholzer See,VR - Biotopo Lago di Anterselva - Antholzer See,"89.66",DPGP 212 28/09/1988,Rasun Anterselva,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
28,Val Campelle (IT3120142),Zona Speciale di Conservazione Val Campelle,"1136.00",null,"Scurelle, Telve, Telve di Sopra",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
29,Zona Umida Valfloriana (IT3120024),Zona Speciale di Conservazione Zona Umida Valfloriana,203,null,Valfloriana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
30,Manzano (IT3120111),Zona Speciale di Conservazione Manzano,"100.5",null,Mori,null,www.parks.it/IT3120111,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
31,Biotopo Palude della Volpe (IT3110046),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Palude della Volpe,"4.04",null,Appiano sulla strada del vino / Eppan an der Weinstraße,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
32,Lagorai (IT3120160),Zona di Protezione Speciale Lagorai,"46191.00",null,"Canal San Bovo, Castello Tesino, Cavalese, Cinte Tesino, Imer, Mezzano, Moena, Palù del Fersina, Panchià, Pieve Tesino, Predazzo, Primiero San Martino di Castrozza, Sagron Mis, Samone, Scurelle, Strigno, Tésero, Telve, Telve di Sopra, Valfloriana, Ziano di Fiemme",null,null,"Villa Welsperg - via Castelpietra, 2 - Val Canali - 38054 Tonadico (TN)",Ente Parco Naturale Paneveggio - Pale di San Martino,TN,info@parcopan.org
33,Biotopo Delta del Valsura (IT3110013),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Delta del Valsura,33,null,"Lana, Merano",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
34,Biotopo Torbiera Tschingger (IT3110032),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Torbiera Tschingger,"3.08",null,Nova Ponente,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
35,Foci dell'Avisio,Biotopo Foci dell'Avisio,115,DGP 282 18/01/1994,"Lavis, Trento, Vallelaghi",EUAP0474,www.parks.it/biotopo.foci.avisio,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
36,Monti Lessini - Piccole Dolomiti (IT3120172),Zona Speciale di Conservazione Monti Lessini - Piccole Dolomiti,"4336.00",null,"Ala, Vallarsa",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
37,Muga Bianca - Pasubio (IT3120171),Zona Speciale di Conservazione Muga Bianca - Pasubio,"1947.00",null,"Terragnolo, Trambileno",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
38,Ontaneto della Rienza-Villabassa - Rienzau-Niederdorf,VR - Biotopo Ontaneto della Rienza-Villabassa - Rienzau-Niederdorf,"19.47",DPGP 289 19/11/1992,Villabassa,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
39,Bocca d'Ardole - Corno della Paura (IT3120095),Zona Speciale di Conservazione e Zona di Protezione Speciale Bocca d'Ardole - Corno della Paura,"178.4",null,"Avio, Brentonico",null,www.parks.it/IT3120095,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
40,Palù Lonch,Riserva Locale Palù Lonch,"4.59",null,Soraga,null,www.parks.it/riserva.palu.lonch,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
41,Salwandalm - Kogbach,VR - Biotopo Salwandalm - Kogbach,"110.24",DPGP 219 3/01/1989,Brennero,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
42,Talpina-Brentonico (IT3120150),Zona Speciale di Conservazione Talpina-Brentonico,"245.1",null,"Ala, Brentonico, Mori",null,www.parks.it/IT3120150,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
43,Adamello Presanella (IT3120158),Zona di Protezione Speciale Adamello Presanella,"28285.00",null,"Caderzone, Carisolo, Daone, Giustino, Massimeno, Ossana, Pelugo, Pinzolo, Porte di Rendena, Sella Giudicarie, Spiazzo, Strembo, Tione di Trento, Vermiglio",null,null,"via Nazionale, 24 - 38080 Strembo (TN)",Ente Parco Naturale Adamello Brenta,TN,info@pnab.it
44,Palù,Riserva Locale Palù,"3.37",null,Trento,null,www.parks.it/riserva.palu,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
45,Issinger Treyden,VR - Biotopo Issinger Treyden,"1.33",DPGP 298 23/07/1993,Falzes,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
46,Palù di Tuenno,Biotopo Palù di Tuenno,"3.8",DGP 11598 6/10/1989,Ville d'Anaunia,EUAP0497,www.parks.it/biotopo.palu.tuenno,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
47,Biotopo Buche di Ghiaccio - Eisloecher,Biotopo Buche di Ghiaccio - Eisloecher,"12.22",DPGP 373 6/02/1998,"Appiano sulla strada del vino / Eppan an der Weinstraße, Caldaro Strada del Vino",EUAP0566,www.parks.it/riserva.buche.ghiaccio,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
48,Cavallo 2,Riserva Locale Cavallo 2,"2.2",null,Altavalle,null,www.parks.it/riserva.cavallo2,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
49,Grotta della Lovara (IT3120141),Zona Speciale di Conservazione Grotta della Lovara,"0.95",null,Spormaggiore,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
50,Palù Longa,Riserva naturale provinciale Palù Longa,6,DGP 11174 23/10/1987,Carano,EUAP0498,www.parks.it/biotopo.palu.longa,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
51,Palude Hurtmueller - Hurtmuellermoos,VR - Biotopo Palude Hurtmueller - Hurtmuellermoos,"1.44",DGP 1315 15/04/2002,San Lorenzo di Sebato,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
52,Burgtorfmoeser,VR - Biotopo Burgtorfmoeser,"1.42",DPGP 362/28/1 15/05/1997,San Candido,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
53,Pinesa,VR - Biotopo Pinesa,"9.53",DPGP 361/28/1 5/02/1997,Castelrotto,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
54,Biotopo Castelfeder (IT3110035),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Castelfeder,108,null,"Montagna, Ora",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
55,Crinale Pichea - Rocchetta (IT3120093),Zona Speciale di Conservazione e Zona di Protezione Speciale Crinale Pichea - Rocchetta,"1009.00",null,"Ledro, Riva del Garda, Tenno",null,www.parks.it/IT3120093,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
56,Alta Val di Stava (IT3120128),Zona Speciale di Conservazione Alta Val di Stava,"1775.30",null,"Panchià, Tésero, Ziano di Fiemme",null,www.parks.it/IT3120128,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
57,Le Grave (Civezano),Biotopo Le Grave,"10.5",DGP 9064 5/08/1988,Civezzano,EUAP0488,www.parks.it/biotopo.grave,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
58,Lago Pudro,Biotopo Lago Pudro,"12.67",DGP 11175 23/10/1987,Pergine Valsugana,EUAP0486,www.parks.it/biotopo.lago.pudro,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
59,Hermermoesl,VR - Biotopo Hermermoesl,"1.79",DPGP 299 17/08/1993,Nova Ponente,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
60,Biotopo Ontaneto di Cengles - Tschenglser Au,Biotopo Ontaneto di Cengles - Tschenglser Au,"40.75",DPGP 199 13/07/1987,Lasa / Laas,EUAP0509,www.parks.it/riserva.ontaneto.cengles,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
61,Torbiera bassa Uina - Niedermoor Uina,VR - Biotopo Torbiera bassa Uina - Niedermoor Uina,"46.3",DPGP 309 4/02/1994,Malles Venosta / Mals,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
62,Biotopo Torbiera Purschtal - Puerschtalmoor,Biotopo Torbiera Purschtal - Puerschtalmoor,"23.31",DPGP 335 13/12/1994,Valle Aurina,EUAP0513,www.parks.it/riserva.torbiera.purschtal,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
63,Zuclo,Riserva Locale Zuclo (Prada-Rio Folon),"2.43",null,Borgo Lares,null,www.parks.it/riserva.zuclo,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
64,Dreiermoos,VR - Biotopo Dreiermoos,"0.7",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
65,Popolamenti di tassi presso il Maso Maggner - Maggnermuehle,VR - Biotopo Popolamenti di tassi presso il Maso Maggner - Maggnermuehle,"6.5",DPGP 364 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
66,Prati del Toro (B),Riserva Locale Prati del Toro (B),"2.86",null,Capriana,null,www.parks.it/riserva.prati.toroB,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
67,Campobrun (IT3120017),Zona Speciale di Conservazione Campobrun,426,null,Ala,null,null,"V.le dell'Università, 14 - Agripolis - 35020 Legnaro (PD)",Veneto Agricoltura,TN,educazione@venetoagricoltura.org
68,"Zona di Flora Protetta ""Fenner Joch"" - Pflanzenschutzgebiet Fenner Joch","VR - Biotopo Zona di Flora Protetta ""Fenner Joch"" - Pflanzenschutzgebiet Fenner Joch","17.04",DPGP 296 2/03/1993,Cortaccia Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
69,Lomasona,Riserva Naturale Provinciale Lomasona,"25.96",DGP 11176 23/10/1987,Comano Terme,EUAP0489,www.parks.it/biotopo.lomasona,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
70,Monte Barco - Le Grave (IT3120170),Zona Speciale di Conservazione Monte Barco - Le Grave,201,null,"Albiano, Civezzano, Trento",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
71,Streitmoos,VR - Biotopo Streitmoos,"0.58",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
72,Prada,Riserva Locale Prada,"3.41",null,Vallelaghi,null,www.parks.it/riserva.prada,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
73,Torbiere alta Val Rendena (IT3120167),Zona Speciale di Conservazione Torbiere alta Val Rendena,771,null,Pinzolo,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
74,Stadtmoos,VR - Biotopo Stadtmoos,"0.77",DPGP 319 11/05/1994,Vipiteno,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
75,Zaccon (IT3120125),Zona Speciale di Conservazione Zaccon,371,null,"Borgo Valsugana, Roncegno",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
76,Rete di Riserve Bondone,Rete di Riserve Bondone,"1100.00",null,"Cimone, Garniga Terme, Trento, Vallelaghi, Villa Lagarina",null,www.parks.it/rete.riserve.bondone,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
77,Moarberger Weiher - Stagno Moarberger,VR - Biotopo Moarberger Weiher - Stagno Moarberger,"3.7",DPGP 922 18/03/2002,Brunico,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
78,Adige Vecchio - Alte Etsch (Cortaccia),Biotopo Adige Vecchio - Alte Etsch (Cortaccia),"0.52",DPGP 296 2/03/1993,Cortaccia Strada del Vino,null,www.parks.it/biotopo.alte.etsch.colsano,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
79,Laghetti Tschaufen - Tschaufer Weiher,VR - Biotopo Laghetti Tschaufen - Tschaufer Weiher,"4.45",DPGP 311 3/03/1994,Meltina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
